Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Cannonsville Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Cannonsville Reservoir","Increase in Storage for Cannonsville Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
2/4/2009, ,-301572,524983,-17779.1,-205632
2/5/2009, ,-306395,523832,-11805,-205632
2/6/2009, ,-308275,522714,-8806.67,-205632
2/7/2009, ,-303640,521315,-12043.3,-205632
2/8/2009, ,-693962,915266,-15672.2,-205632
2/9/2009, ,-1101750,1272445,34933.3,-205632
2/10/2009, ,-2054630,2141354,118906,-205632
2/11/2009, ,-4264450,4278128,191957,-205632
2/12/2009, ,-9706690,9748406,275936,-317648
2/13/2009, ,-131579,4674532,495416,-5038370
2/14/2009, ,-131579,2173940,262599,-2304960
2/15/2009, ,-131579,2269580,-22757.2,-2115240
2/16/2009, ,-131579,2207392,-18175.4,-2057640
2/17/2009, ,-131579,2042419,-16404.9,-1894440
2/18/2009, ,-131579,2496488,-16067.1,-2348840
2/19/2009, ,-131579,1949764,-19093.2,-1799090
2/20/2009, ,-131579,1428150,92733.7,-1389310
2/21/2009, ,-131579,1171389,-19286.3,-1020520
2/22/2009, ,-131579,1212563,-18624.1,-1062360
2/23/2009, ,-80240.9,906796,127577,-954132
2/24/2009,151468, ,822984,-20319.4,-954132
2/25/2009,205572, ,763624,-15063.6,-954132
2/26/2009, ,-803115,2591974,-17051.3,-1771810
2/27/2009, ,-131579,8883178,155948,-8907550
2/28/2009, ,-131579,4831528,415928,-5115880
3/1/2009, ,-131579,2252184,200875,-2321480
3/2/2009, ,-131579,2145376,-26196.1,-1987600
3/3/2009, ,-131579,2099674,-18155.3,-1949940
3/4/2009, ,-131579,2005956,-13504.8,-1860870
3/5/2009, ,-131579,1873810,-14458.1,-1727770
3/6/2009, ,-131579,4736022,-18866.4,-4585580
3/7/2009, ,-131579,10768193,178922,-10815500
3/8/2009, ,-131579,23371782,356489,-23596700
3/9/2009, ,-131579,28128298,322477,-28319200
3/10/2009, ,-131579,26731980,155468,-26755900
3/11/2009, ,-131579,24888134,117256,-24873800
3/12/2009, ,-131579,14292716,68455.9,-14229600
3/13/2009, ,-131579,6325966,-39329.1,-6155060
3/14/2009, ,-131579,5934210,-30231,-5772400
3/15/2009, ,-131579,5278574,-34783.6,-5112210
3/16/2009, ,-131579,3276352,-42831.6,-3101940
3/17/2009, ,-131579,2140718,-42307.1,-1966830
3/18/2009, ,-131579,1840263,-47172.3,-1661510
3/19/2009, ,-131579,2156730,-20299.5,-2004850
3/20/2009, ,-131579,1390976,38657.5,-1298050
3/21/2009, ,-131579,1202533,-37918.4,-1033040
3/22/2009, ,-131579,1109035,-34430.6,-943026
3/23/2009, ,-131579,1024775,-35903.9,-857292
3/24/2009, ,-131579,968311,-30370.3,-806362
3/25/2009, ,-131579,955579,-32657.7,-791342
3/26/2009, ,-131579,1212952,-40121.9,-1041250
3/27/2009, ,-131579,1013556,35754,-917731
3/28/2009, ,-131579,882560,-38171.8,-712810
3/29/2009, ,-131579,2259626,-63145.6,-2064900
3/30/2009, ,-131579,1729381,130042,-1727840
3/31/2009, ,-131579,1229650,-7314.38,-1090760
4/1/2009, ,-131579,1392231,-53053.8,-1207600
4/2/2009, ,-131579,1122106,-35393,-955134
4/3/2009, ,-131579,5329196,-66477.5,-5131140
4/4/2009, ,-131579,2472813,265606,-2606840
4/5/2009, ,-131579,1793503,-16558.1,-1645370
4/6/2009, ,-131579,2317410,-49461.6,-2136370
4/7/2009, ,-131579,1859304,44835.5,-1772560
4/8/2009, ,-131579,1544833,-47230.8,-1366020
4/9/2009, ,-131579,1433956,-43149.8,-1259230
4/10/2009, ,-131579,1966937,-37961.7,-1797400
4/11/2009, ,-131579,1613416,44148.4,-1525990
4/12/2009, ,-131579,1282276,-61493.6,-1089200
4/13/2009, ,-131579,1131838,-49955.3,-950304
4/14/2009, ,-131579,1011119,-46753.4,-832787
4/15/2009, ,-131579,912671,-55455.1,-725637
4/16/2009, ,-131579,837428,-68151.7,-637698
4/17/2009, ,-42625.2,779733,-59731.6,-677376
4/18/2009, ,-220533,728656,-65606.5,-442516
4/19/2009, ,-131579,688526,-73579.9,-483367
4/20/2009, ,-131579,1561298,-82909.9,-1346810
4/21/2009, ,-131579,2169704,106338,-2144460
4/22/2009, ,-131579,1476378,9216.65,-1354020
4/23/2009, ,-131579,1096389,-57276.2,-907534
4/24/2009,37639.6, ,973647,-53283.1,-958003
4/25/2009,52102.5, ,923032,-69627.4,-905507
4/26/2009,179331, ,873927,-99125.4,-954132
4/27/2009,561039, ,819822,-104733,-1276130
4/28/2009,636014, ,798130,-109390,-1324750
4/29/2009,699305, ,713706,-88257,-1324750
4/30/2009,711949, ,702985,-90180.4,-1324750
5/1/2009,579604, ,1029236,-42165.7,-1566670
5/2/2009,685003, ,840496,41174.8,-1566670
5/3/2009,950906, ,679630,-63862,-1566670
5/4/2009,887139, ,753924,-70518,-1570540
5/5/2009,541041, ,1039390,-13756.5,-1566670
5/6/2009, ,-179587,1722558,23702.6,-1566670
5/7/2009,262686, ,1230572,73415.8,-1566670
5/8/2009,281402, ,1370603,-85331.9,-1566670
5/9/2009, ,-238419,1798574,6518.89,-1566670
5/10/2009,209981, ,1343718,12975.2,-1566670
5/11/2009, ,-431455,1078243,-86985.2,-559803
5/12/2009, ,-482861,1008060,-77646.7,-447552
5/13/2009, ,-401597,920044,-70895.2,-447552
5/14/2009, ,-1812170,2335502,-75780.3,-447552
5/15/2009, ,-750502,1779406,163520,-1192420
5/16/2009, ,-5660510,6951476,-98537.6,-1192420
5/17/2009, ,-475930,5180736,489524,-5194330
5/18/2009, ,-131579,2915266,-24720.2,-2758970
5/19/2009, ,-131579,2428016,-68415.5,-2228020
5/20/2009, ,-131579,2067274,-77835.3,-1857860
5/21/2009, ,-131579,1713226,-104319,-1477330
5/22/2009, ,-131579,1356578,-106406,-1118590
5/23/2009, ,-131579,1419081,-111351,-1176150
5/24/2009, ,-131579,1151848,39413.9,-1059680
5/25/2009, ,-131579,868603,-92691.7,-644332
5/26/2009, ,-131579,4047435,-102621,-3813240
5/27/2009, ,-131579,2781688,321185,-2971290
5/28/2009, ,-131579,3635229,-44692.8,-3458960
5/29/2009, ,-131579,6004570,123401,-5996390
5/30/2009, ,-131579,4106111,127258,-4101790
5/31/2009, ,-131579,2790020,-97409,-2561030
6/1/2009, ,-131579,2339405,-88200.4,-2119630
6/2/2009,655738, ,1944018,-79428.1,-2520330
6/3/2009,655738, ,1524267,-73314.6,-2106690
6/4/2009,655738, ,1175957,-82605.6,-1749090
6/5/2009,655738, ,945629,-94642,-1506720
6/6/2009,655738, ,790722,-94254.4,-1352210
6/7/2009,655738, ,699778,-109959,-1245560
6/8/2009,655738, ,763875,-105008,-1314600
6/9/2009,655738, ,1829472,-31516.5,-2453690
6/10/2009,655738, ,1156970,155119,-1967830
6/11/2009,655738, ,1526843,-106843,-2075740
6/12/2009,655738, ,2048295,105078,-2809110
6/13/2009,655738, ,3739494,-14173.4,-4381060
6/14/2009,655738, ,2920286,-7345.73,-3568680
6/15/2009,655738, ,2690459,-93385.1,-3252810
6/16/2009,655738, ,2408081,-78908.1,-2984910
6/17/2009,655738, ,2837038,-108064,-3384710
6/18/2009,655738, ,5549954,92502.5,-6298190
6/19/2009,655738, ,4488096,143543,-5287380
6/20/2009,655738, ,10714649,-109356,-11261000
6/21/2009,655738, ,8765441,467651,-9888830
6/22/2009,655738, ,4856542,-70419.9,-5441860
6/23/2009,655738, ,2889526,-118426,-3426840
6/24/2009,655738, ,2080009,-119665,-2616080
6/25/2009,655738, ,2643094,-119916,-3178920
6/26/2009,655738, ,3673202,-81537.9,-4247400
6/27/2009,655738, ,2622701,30086.6,-3308530
6/28/2009,655738, ,1802064,-114885,-2342920
6/29/2009,655738, ,1324246,-101089,-1878890
6/30/2009,655738, ,2275931,-91985.5,-2839680
7/1/2009,655738, ,1925112,109952,-2690800
7/2/2009,655738, ,3260888,-99571.9,-3817050
7/3/2009,655738, ,2829672,64884.3,-3550290
7/4/2009,655738, ,1800018,-44656.6,-2411100
7/5/2009,655738, ,1366656,-108075,-1914320
7/6/2009,655738, ,1350423,-101219,-1904940
7/7/2009,655738, ,3020488,-54047.6,-3622180
7/8/2009,655738, ,1965385,201453,-2822580
7/9/2009,655738, ,1397401,-93161.4,-1959980
7/10/2009,1233652, ,1121298,-108892,-2246060
7/11/2009,77823.2, ,2953163,-114603,-2916380
7/12/2009,655738, ,2063198,179257,-2898190
7/13/2009,886189, ,1320130,-106888,-2099430
7/14/2009,1743259, ,1149081,-99200.5,-2793140
7/15/2009,1383283, ,978014,-97984.9,-2263310
7/16/2009,96720.7, ,2054249,-96410.7,-2054560
7/17/2009, ,-596194,3217506,79016.9,-2700330
7/18/2009,624381, ,2292369,-12126.5,-2904620
7/19/2009,1270589, ,1387506,-115516,-2542580
7/20/2009,1387808, ,1159420,-104148,-2443080
7/21/2009,2107449, ,1092280,-107813,-3091920
7/22/2009,1298293, ,947549,-89275.8,-2156570
7/23/2009,1486013, ,821149,-118823,-2188340
7/24/2009,1784768, ,989344,-116983,-2657130
7/25/2009,2044135, ,1027317,-5456.55,-3066000
7/26/2009,1896960, ,1012132,-107035,-2802060
7/27/2009,1770026, ,832633,-59244,-2543420
7/28/2009,2064287, ,697555,-99139.6,-2662700
7/29/2009, ,-6324570,8808614,-119056,-2364990
7/30/2009, ,-3120120,6787124,685912,-4352920
7/31/2009,655738, ,14059215,-61390.7,-14653600
8/1/2009,655738, ,9079010,467447,-10202200
8/2/2009, ,-131579,8207425,-111790,-7964060
8/3/2009, ,-131579,5580560,59980.9,-5508960
8/4/2009, ,-131579,3503357,-111509,-3260270
8/5/2009,57795.3, ,2679557,-112409,-2624940
8/6/2009,162360, ,1816775,-110749,-1868390
8/7/2009,1100784, ,1292406,-97681.1,-2295510
8/8/2009,1969539, ,985542,-98250.7,-2856830
8/9/2009, ,-3948370,7368261,-102935,-3316950
8/10/2009, ,-131579,8152480,740917,-8761820
8/11/2009, ,-131579,3263201,456029,-3587650
8/12/2009, ,-131579,3194188,-117959,-2944650
8/13/2009, ,-131579,2532187,-9948.37,-2390660
8/14/2009,374300, ,1816444,-86013,-2104730
8/15/2009,668332, ,1487796,-116753,-2039370
8/16/2009,1690777, ,1427738,-118986,-2999530
8/17/2009,998107, ,1063782,-98044.8,-1963840
8/18/2009, ,-533268,2687186,-120814,-2033100
8/19/2009,132775, ,2358262,27717.4,-2518760
8/20/2009,419628, ,1429424,-73476.1,-1775580
8/21/2009, ,-205855,2917169,-104208,-2607110
8/22/2009, ,-1390730,4081531,72240.3,-2763040
8/23/2009, ,-676883,3569260,-32480.6,-2859900
8/24/2009,1041886, ,2403396,-12483.9,-3432800
8/25/2009,1215519, ,1845948,-101629,-2959840
8/26/2009,1650488, ,1732530,-103922,-3279100
8/27/2009,1895906, ,1328827,-33008.4,-3191730
8/28/2009,159282, ,2878680,-85927,-2952040
8/29/2009, ,-2005790,5219876,193916,-3408000
8/30/2009,298123, ,3403262,189762,-3891150
8/31/2009,1229763, ,2129706,-95000.8,-3264470
9/1/2009,1570842, ,1696531,-93934.8,-3173440
9/2/2009,2139443, ,1443410,-79091,-3503760
9/3/2009,2622069, ,1244781,-85917,-3780930
9/4/2009,2734772, ,1092941,-89980.6,-3737730
9/5/2009,2250360, ,948197,-87223.9,-3111330
9/6/2009,2204846, ,821914,-88226.1,-2938530
9/7/2009,3813556, ,741392,-82815.4,-4472130
9/8/2009,3611017, ,692080,-86535.4,-4216560
9/9/2009,3662730, ,660277,-88474.2,-4234530
9/10/2009,2772103, ,639036,-85429.9,-3325710
9/11/2009,3108832, ,923790,-74810.5,-3957810
9/12/2009,2669152, ,1032417,61842,-3763410
9/13/2009,2161764, ,744557,-71709.6,-2834610
9/14/2009,2027455, ,693430,-84544.6,-2636340
9/15/2009,2116032, ,663849,-78740.5,-2701140
9/16/2009,2481204, ,727364,-81752.1,-3126820
9/17/2009,1653857, ,927763,-38004.6,-2543620
9/18/2009,1849246, ,754596,47773.4,-2651620
9/19/2009,2218422, ,689332,-61737.5,-2846020
9/20/2009,1933942, ,660350,-50676.4,-2543620
9/21/2009,2029580, ,636116,-57279.9,-2608420
9/22/2009,1549806, ,621037,-59227.9,-2111620
9/23/2009,2114855, ,1115862,-60700.6,-3170020
9/24/2009,1220848, ,808491,17476.8,-2046820
9/25/2009,2508599, ,667192,-70575,-3105220
9/26/2009, ,-113357,2108749,-56576.1,-1938820
9/27/2009, ,-2013520,4284213,208127,-2478820
9/28/2009, ,-1316950,3707826,174341,-2565220
9/29/2009,102020, ,2855221,-3225.14,-2954020
9/30/2009, ,-899984,2711726,-24126,-1787620
10/1/2009,621867, ,2542336,-42571.5,-3121630
10/2/2009, ,-688803,2562865,-16239.1,-1857820
10/3/2009,363216, ,2590251,-7003.95,-2946460
10/4/2009, ,-401544,2029643,-38952,-1589150
10/5/2009,1202474, ,1523257,-49059,-2676670
10/6/2009,801555, ,1401304,-46258.8,-2156600
10/7/2009,453593, ,1939599,-30208,-2362980
10/8/2009,1129095, ,1541415,18704.4,-2689210
10/9/2009,887260, ,1789816,-43465,-2633610
10/10/2009,1004699, ,1439613,44510.1,-2488820
10/11/2009,1455606, ,1160184,-41125,-2574660
10/12/2009,705412, ,1134712,-36370.6,-1803750
10/13/2009,596374, ,1356166,-22252.7,-1930290
10/14/2009,834354, ,1206701,-8760.13,-2032300
10/15/2009,831827, ,1193292,-24317.5,-2000800
10/16/2009,236473, ,1153459,42021.8,-1431950
10/17/2009,824934, ,1113504,11777.1,-1950220
10/18/2009,417175, ,984540,6827.98,-1408540
10/19/2009,1226169, ,906155,-26588.6,-2105740
10/20/2009,1271904, ,848478,-30115,-2090270
10/21/2009,1050460, ,791365,-34308.2,-1807520
10/22/2009,1278144, ,740977,-44240.7,-1974880
10/23/2009,349044, ,1353016,-45326.5,-1656730
10/24/2009, ,-12943800,14571166,112315,-1739650
10/25/2009, ,-7486740,7765697,782596,-1061550
10/26/2009, ,-2834570,4050303,-40195.8,-1175540
10/27/2009, ,-2866360,4598928,-35424.1,-1697150
10/28/2009, ,-14117500,15674973,29955.9,-1587470
10/29/2009, ,-9227250,10176116,612268,-1561140
10/30/2009, ,-4576980,6053035,-38527.1,-1437530
10/31/2009, ,-4478240,5352750,-43874.8,-830638
11/1/2009, ,-2952560,3761730,1262.98,-810432
11/2/2009, ,-1559060,2448101,-40303.2,-848736
11/3/2009, ,-664512,1839787,-34218.9,-1141060
11/4/2009, ,-442156,1508337,-36293.6,-1029890
11/5/2009, ,-300771,1366487,-21427.1,-1044290
11/6/2009, ,-45890.7,1170300,2823.14,-1127230
11/7/2009, ,-321428,1020273,-16285.3,-682560
11/8/2009, ,-259327,938283,-22891.9,-656064
11/9/2009, ,-235684,869407,-35258.6,-598464
11/10/2009, ,-38024.3,821136,-39207.9,-743904
11/11/2009,188894, ,786274,-38016.1,-937152
11/12/2009,151402, ,758998,-31711.9,-878688
11/13/2009,56317, ,734187,-30183.8,-760320
11/14/2009, ,-24625.2,786224,-32094.7,-729504
11/15/2009, ,-263372,823488,-13491.4,-546624
11/16/2009,716529, ,709728,-44686.2,-1381570
11/17/2009,1203427, ,694260,-36273,-1861410
11/18/2009,1165986, ,681176,-31967.1,-1815190
11/19/2009, ,-409288,1972158,-27473,-1535400
11/20/2009, ,-1345150,2696950,393837,-1745640
11/21/2009, ,-402703,1996698,49690.1,-1643690
11/22/2009,172049, ,1478275,-28526.9,-1621800
11/23/2009,83460.1, ,1547872,-29118.9,-1602210
11/24/2009, ,-72324.9,1571207,-26556.7,-1472330
11/25/2009, ,-159419,1729990,-33445.8,-1537130
11/26/2009, ,-171344,1686568,301.039,-1515530
11/27/2009, ,-253911,1704799,-8802.95,-1442090
11/28/2009, ,-149757,1582671,531.814,-1433450
11/29/2009,58629.6, ,1307696,2607.56,-1368930
11/30/2009, ,-206954,1582249,-23929.5,-1351370
12/1/2009, ,-27710.2,1302585,46250,-1321130
12/2/2009, ,-665958,1958925,-24338.1,-1268630
12/3/2009, ,-2983000,3250524,57861.5,-325382
12/4/2009, ,-2800200,2946663,59167.1,-205632
12/5/2009, ,-2324890,2552740,-22220.1,-205632
12/6/2009, ,-2088730,2292166,2198.45,-205632
12/7/2009, ,-1804650,2026175,-15894.6,-205632
12/8/2009, ,-1654240,1874344,-14470.4,-205632
12/9/2009, ,-2593290,2812356,-13435.3,-205632
12/10/2009, ,-2349970,2482136,73463.4,-205632
12/11/2009, ,-1676510,1898658,-16515.2,-205632
12/12/2009, ,-1405320,1624358,-13405.7,-205632
12/13/2009, ,-61648.9,1526743,-13574.3,-1451520
12/14/2009,123723, ,1342061,-14264.3,-1451520
12/15/2009,109805, ,1361510,-19795,-1451520
12/16/2009,326121, ,1126004,-605.631,-1451520
12/17/2009,445116, ,1023458,-17054.1,-1451520
12/18/2009,515381, ,947460,-11320.1,-1451520
12/19/2009,571378, ,890385,-10243.2,-1451520
12/20/2009,618777, ,845379,-12636.4,-1451520
12/21/2009,657291, ,808476,-14246.8,-1451520
12/22/2009,1366318, ,777789,-15211.5,-2128900
12/23/2009,1533327, ,751402,-13584.5,-2271140
12/24/2009,1479835, ,728733,-12176.6,-2196390
12/25/2009,1502103, ,708484,-14195.2,-2196390
12/26/2009,1163837, ,1047950,-15395,-2196390
12/27/2009,1042651, ,1125453,28287.6,-2196390
12/28/2009,1315178, ,879026,2188.4,-2196390
12/29/2009,1490934, ,720731,-15273.2,-2196390
12/30/2009,250538, ,712550,-12584.2,-950504
12/31/2009,257562, ,704500,-11558.3,-950504
1/1/2010,270027, ,696121,-15644.1,-950504
1/2/2010,273439, ,687540,-10475.4,-950504
1/3/2010,286741, ,677544,-13781.1,-950504
1/4/2010,296195, ,664531,-10222.5,-950504
1/5/2010, ,-434881,650777,-10263.9,-205632
1/6/2010, ,-420780,638009,-11597.5,-205632
1/7/2010, ,-407784,626021,-12605,-205632
1/8/2010, ,-395589,615020,-13799.1,-205632
1/9/2010, ,-386269,605352,-13451.1,-205632
1/10/2010, ,-379692,596854,-11529.6,-205632
1/11/2010, ,-375242,589013,-8139.01,-205632
1/12/2010, ,-367406,581518,-8480.26,-205632
1/13/2010, ,-355566,574352,-13153.2,-205632
1/14/2010, ,-346980,567523,-14911.3,-205632
1/15/2010, ,-339489,560887,-15765.8,-205632
1/16/2010, ,-331117,554474,-17724.8,-205632
1/17/2010, ,-364056,591602,-21914.4,-205632
1/18/2010, ,-408794,630588,-16162.1,-205632
1/19/2010, ,-374891,600650,-20126.9,-205632
1/20/2010, ,-340616,555565,-9317.63,-205632
1/21/2010, ,-312054,535918,-18231.8,-205632
1/22/2010, ,-308538,531743,-17573.2,-205632
1/23/2010, ,-305428,527803,-16743.1,-205632
1/24/2010, ,-1033750,1256109,-16727.4,-205632
1/25/2010, ,-8688400,8882490,11540,-205632
1/26/2010, ,-6758780,6368484,595930,-205632
1/27/2010, ,-2484740,2655479,34893.7,-205632
1/28/2010, ,-807945,1874417,116033,-1182500
1/29/2010, ,-1065860,2095953,-19589.2,-1010500
1/30/2010, ,-874838,2210560,-10968.3,-1324750
1/31/2010, ,-474878,2217194,-8250.77,-1734060
2/1/2010, ,-131579,2095774,-9472.46,-1954720
2/2/2010, ,-131579,1761920,-13782.2,-1616560
2/3/2010, ,-99731.7,1434100,-13242.8,-1321130
2/4/2010, ,-163426,1194438,-15919.4,-1015090
2/5/2010, ,-131579,1029055,-14315.6,-883160
2/6/2010, ,-131579,912874,-13787.4,-767507
2/7/2010, ,-131579,830501,-15371.9,-683550
2/8/2010, ,-131579,770962,-10964.8,-628419
2/9/2010, ,-131579,726750,-13403.7,-581768
2/10/2010, ,-131579,692892,-16862.1,-544451
2/11/2010, ,-131579,666330,57656,-592407
2/12/2010,38057, ,644906,-16956.8,-666006
2/13/2010, ,-301215,627241,-16790.6,-309236
2/14/2010, ,-131579,611980,-14072.5,-466329
2/15/2010,151551, ,816738,-17785.8,-950504
2/16/2010,268805, ,595795,85904.1,-950504
2/17/2010,222803, ,584936,142765,-950504
2/18/2010, ,-493123,1460002,-23874.4,-943004
2/19/2010, ,-807930,3166692,99672.5,-2458440
2/20/2010, ,-131579,5491246,185520,-5545190
2/21/2010, ,-131579,2862012,272303,-3002740
2/22/2010, ,-131579,3451166,322062,-3641650
2/23/2010, ,-131579,10564131,158988,-10591500
2/24/2010, ,-131579,14086232,238241,-14192900
2/25/2010, ,-131579,7810547,130520,-7809490
2/26/2010, ,-131579,8045810,122591,-8036820
2/27/2010, ,-131579,11981240,87501.6,-11937200
2/28/2010, ,-131579,15292153,157345,-15317900
3/1/2010, ,-131579,15495806,133317,-15497500
3/2/2010, ,-131579,15446177,23344.2,-15337900
3/3/2010, ,-131579,10748100,31320.8,-10647800
3/4/2010, ,-131579,5817003,-26224,-5659200
3/5/2010, ,-131579,3844506,-30890.2,-3682040
3/6/2010, ,-131579,2788788,-31716.8,-2625490
3/7/2010, ,-131579,2546101,-30373.8,-2384150
3/8/2010, ,-131579,2262264,-36587.6,-2094100
3/9/2010, ,-131579,1691716,-37951,-1522190
3/10/2010, ,-131579,1328092,-41182.3,-1155330
3/11/2010, ,-131579,1126390,-42024.6,-952787
3/12/2010, ,-131579,1117949,-48928.2,-937442
3/13/2010, ,-131579,3883889,23667.3,-3775980
3/14/2010, ,-131579,3091188,161081,-3120690
3/15/2010, ,-131579,2462677,-29597.5,-2301500
3/16/2010, ,-131579,1746762,-41284.9,-1573900
3/17/2010, ,-131579,1625940,-48048.8,-1446310
3/18/2010, ,-131579,1500889,-47126.4,-1322180
3/19/2010, ,-131579,1391164,-49854.6,-1209730
3/20/2010, ,-131579,1282475,-53475.5,-1097420
3/21/2010, ,-131579,1155979,-56397,-968003
3/22/2010, ,-131579,8340445,-63626.4,-8145240
3/23/2010, ,-131579,5236596,579008,-5684030
3/24/2010, ,-131579,3080879,-49737.9,-2899560
3/25/2010, ,-131579,5419373,-52092.1,-5235700
3/26/2010, ,-131579,4366185,113528,-4348130
3/27/2010, ,-131579,3309207,-34319.8,-3143310
3/28/2010, ,-131579,4291914,-36838,-4123500
3/29/2010, ,-131579,3967032,63693.7,-3899150
3/30/2010, ,-131579,8585318,18558.1,-8472300
3/31/2010, ,-131579,7387565,430471,-7686460
4/1/2010, ,-131579,4712013,-52569.9,-4527860
4/2/2010, ,-131579,3139838,-68826.2,-2939430
4/3/2010, ,-131579,2331699,-69021.3,-2131100
4/4/2010, ,-131579,1845675,-81800.1,-1632300
4/5/2010, ,-131579,1539499,-74923.3,-1333000
4/6/2010, ,-131579,1482645,-71250.5,-1279820
4/7/2010, ,-131579,1197287,-30595.8,-1035110
4/8/2010, ,-131579,2500594,-88246.3,-2280770
4/9/2010, ,-131579,1529848,173908,-1572180
4/10/2010, ,-131579,1159390,-83613.4,-944197
4/11/2010, ,-131579,1072064,-58885,-881600
4/12/2010, ,-131579,1005228,-67471.3,-806178
4/13/2010, ,-131579,952320,-57400.9,-763340
4/14/2010, ,-131579,904778,-61909.4,-711289
4/15/2010, ,-131579,948529,-61267.9,-755682
4/16/2010, ,-131579,2487767,-2954.98,-2353230
4/17/2010, ,-131579,1708036,230888,-1807340
4/18/2010, ,-131579,1282349,-51393.2,-1099380
4/19/2010, ,-131579,1186869,-52762.7,-1002530
4/20/2010,255025, ,1121346,-66615.8,-1309750
4/21/2010,331963, ,1061934,-69143.8,-1324750
4/22/2010,398380, ,998193,-71819.2,-1324750
4/23/2010,448027, ,940324,-63597,-1324750
4/24/2010, ,-56117.3,1444343,-63471.8,-1324750
4/25/2010, ,-975159,2188859,111054,-1324750
4/26/2010, ,-1323170,4760445,62970.6,-3500240
4/27/2010, ,-131579,3276746,281127,-3426290
4/28/2010, ,-131579,2319060,-53836.4,-2133640
4/29/2010, ,-131579,2050912,-56518.1,-1862810
4/30/2010, ,-131579,1846971,-67436.4,-1647960
5/1/2010,46704.4, ,1608807,-88837.8,-1566670
5/2/2010,251325, ,1423017,-107668,-1566670
5/3/2010,98355.2, ,1556977,-88658.7,-1566670
5/4/2010,58531.4, ,1484886,23256.4,-1566670
5/5/2010,167368, ,1402750,-3444.36,-1566670
5/6/2010,386343, ,1210187,-29856.4,-1566670
5/7/2010, ,-1619660,3276815,-90479.4,-1566670
5/8/2010, ,-441597,3137426,314712,-3010540
5/9/2010, ,-131579,1978264,-24508.9,-1822180
5/10/2010, ,-20403.4,1654943,-63995.1,-1570540
5/11/2010, ,-242754,3495464,-60367.6,-3192340
5/12/2010, ,-131579,2929095,198080,-2995600
